"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Tefibazumab|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.6310452
0,6,1.277519
0,9,1.913851
0,12,2.54236
0,15,3.164094
0,18,3.148774
0,21,3.112691
0,24,3.081987
0,27,3.054753
0,30,3.030385
0,33,3.008456
0,36,2.988608
0,39,2.970544
0,42,2.954029
0,45,2.938867
0,48,2.924891
0,51,2.911965
0,54,2.899971
0,57,2.888809
0,60,2.878394
0,63,2.868652
0,66,2.859516
0,69,2.85093
0,72,2.842843
0,75,2.83521
0,78,2.827991
0,81,2.821149
0,84,2.814655
0,87,2.808477
0,90,2.802592
0,93,2.796974
0,96,2.791602
0,99,2.786457
0,102,2.781521
0,105,2.776776
0,108,2.77221
0,111,2.767807
0,114,2.763556
0,117,2.759446
0,120,2.755465
0,135,2.737196
0,150,2.721026
0,165,2.706336
0,180,2.69271
0,195,2.679872
0,210,2.667639
0,225,2.655884
0,240,2.644517
0,255,2.633472
0,270,2.622703
0,285,2.612174
0,300,2.601864
0,315,2.591752
0,330,2.581821
0,345,2.572059
0,360,2.562453
0,375,2.552994
0,390,2.543674
0,405,2.534485
0,420,2.525421
0,435,2.516479
0,450,2.507652
0,465,2.498937
0,480,2.49033
0,495,2.481827
0,510,2.473424
0,525,2.465119
0,540,2.456909
0,555,2.448791
0,570,2.440763
0,585,2.432822
0,600,2.424967
0,615,2.417196
0,630,2.409506
0,645,2.401895
0,660,2.394364
0,675,2.386909
0,690,2.379529
0,705,2.372223
0,720,2.36499
0,735,2.357828
0,750,2.350737
0,765,2.343714
0,780,2.336759
0,795,2.329871
0,810,2.323049
0,825,2.316291
0,840,2.309597
0,855,2.302966
0,870,2.296397
0,885,2.289888
0,900,2.28344
0,915,2.27705
0,930,2.270719
0,945,2.264446
0,960,2.258229
0,975,2.252069
0,990,2.245963
0,1005,2.239913
0,1020,2.233916
0,1035,2.227972
0,1050,2.222081
0,1065,2.216242
0,1080,2.210454
0,1095,2.204716
0,1110,2.199028
0,1125,2.19339
0,1140,2.1878
0,1155,2.182259
0,1170,2.176765
0,1185,2.171318
0,1200,2.165917
0,1215,2.160562
0,1230,2.155252
0,1245,2.149988
0,1260,2.144767
0,1275,2.139591
0,1290,2.134457
0,1305,2.129366
0,1320,2.124317
0,1335,2.119311
0,1350,2.114345
0,1365,2.10942
0,1380,2.104536
0,1395,2.099691
0,1410,2.094886
0,1425,2.09012
0,1440,2.085392
0,1455,2.080702
0,1470,2.076051
0,1485,2.071436
0,1500,2.066858
0,1515,2.062317
0,1530,2.057812
0,1545,2.053342
0,1560,2.048908
0,1575,2.044508
0,1590,2.040143
0,1605,2.035813
0,1620,2.031516
0,1635,2.027252
0,1650,2.023022
0,1665,2.018824
0,1680,2.014658
0,1695,2.010525
0,1710,2.006423
0,1725,2.002352
0,1740,1.998312
0,1755,1.994303
0,1770,1.990324
0,1785,1.986376
0,1800,1.982457
0,1815,1.978567
0,1830,1.974706
0,1845,1.970875
0,1860,1.967071
0,1875,1.963296
0,1890,1.959549
0,1905,1.955829
0,1920,1.952136
0,1935,1.948471
0,1950,1.944832
0,1965,1.94122
0,1980,1.937634
0,1995,1.934073
0,2010,1.930538
0,2025,1.927028
0,2040,1.923543
0,2055,1.920083
0,2070,1.916647
0,2085,1.913236
0,2100,1.909849
0,2115,1.906486
0,2130,1.903146
0,2145,1.89983
0,2160,1.896537
0,2175,1.893268
0,2190,1.89002
0,2205,1.886795
0,2220,1.883593
0,2235,1.880413
0,2250,1.877254
0,2265,1.874117
0,2280,1.871001
0,2295,1.867908
0,2310,1.864834
0,2325,1.861781
0,2340,1.85875
0,2355,1.855739
0,2370,1.852747
0,2385,1.849775
0,2400,1.846824
0,2415,1.843892
0,2430,1.840979
0,2445,1.838086
0,2460,1.835212
0,2475,1.832357
0,2490,1.82952
0,2505,1.826701
0,2520,1.823902
0,2535,1.82112
0,2550,1.818356
0,2565,1.81561
0,2580,1.812882
0,2595,1.810171
0,2610,1.807478
0,2625,1.804801
0,2640,1.802142
0,2655,1.799499
0,2670,1.796873
0,2685,1.794263
0,2700,1.791671
0,2715,1.789094
0,2730,1.786533
0,2745,1.783988
0,2760,1.781458
0,2775,1.778945
0,2790,1.776447
0,2805,1.773963
0,2820,1.771496
0,2835,1.769044
0,2850,1.766605
0,2865,1.764182
0,2880,1.761774
0,2895,1.75938
0,2910,1.757
0,2925,1.754635
0,2940,1.752284
0,2955,1.749947
0,2970,1.747623
0,2985,1.745313
0,3000,1.743017
0,3015,1.740735
0,3030,1.738465
0,3045,1.736209
0,3060,1.733966
0,3075,1.731736
0,3090,1.729519
0,3105,1.727315
0,3120,1.725123
0,3135,1.722944
0,3150,1.720777
0,3165,1.718623
0,3180,1.71648
0,3195,1.714351
0,3210,1.712232
0,3225,1.710126
0,3240,1.708032
0,3255,1.705949
0,3270,1.703878
0,3285,1.701818
0,3300,1.69977
0,3315,1.697733
0,3330,1.695707
0,3345,1.693692
0,3360,1.691688
0,3375,1.689695
0,3390,1.687713
0,3405,1.685742
0,3420,1.683781
0,3435,1.681831
0,3450,1.679891
0,3465,1.677961
0,3480,1.676042
0,3495,1.674134
0,3510,1.672234
0,3525,1.670345
0,3540,1.668467
0,3555,1.666598
0,3570,1.664738
0,3585,1.662888
0,3600,1.661048
0,3615,1.659218
0,3630,1.657396
0,3645,1.655584
0,3660,1.653782
0,3675,1.651989
0,3690,1.650204
0,3705,1.648429
0,3720,1.646663
0,3735,1.644906
0,3750,1.643157
0,3765,1.641417
0,3780,1.639686
0,3795,1.637964
0,3810,1.63625
0,3825,1.634544
0,3840,1.632847
0,3855,1.631158
0,3870,1.629478
0,3885,1.627805
0,3900,1.626141
0,3915,1.624485
0,3930,1.622837
0,3945,1.621197
0,3960,1.619565
0,3975,1.61794
0,3990,1.616323
0,4005,1.614714
0,4020,1.613113
0,4035,1.611519
0,4050,1.609933
0,4065,1.608354
0,4080,1.606782
0,4095,1.605218
0,4110,1.603661
0,4125,1.602111
0,4140,1.600569
0,4155,1.599034
0,4170,1.597505
0,4185,1.595984
0,4200,1.594469
0,4215,1.592962
0,4230,1.591461
0,4245,1.589967
0,4260,1.58848
0,4275,1.586999
0,4290,1.585525
0,4305,1.584057
0,4320,1.582597
0,4335,1.581142
0,4350,1.579694
0,4365,1.578252
0,4380,1.576817
0,4395,1.575388
0,4410,1.573965
0,4425,1.572549
0,4440,1.571138
0,4455,1.569734
0,4470,1.568335
0,4485,1.566943
0,4500,1.565556
0,4515,1.564176
0,4530,1.562801
0,4545,1.561432
0,4560,1.560069
0,4575,1.558712
0,4590,1.55736
0,4605,1.556014
0,4620,1.554673
0,4635,1.553339
0,4650,1.552009
0,4665,1.550685
0,4680,1.549367
0,4695,1.548054
0,4710,1.546746
0,4725,1.545443
0,4740,1.544146
0,4755,1.542855
0,4770,1.541568
0,4785,1.540286
0,4800,1.53901
0,4815,1.537739
0,4830,1.536472
0,4845,1.535211
0,4860,1.533955
0,4875,1.532704
0,4890,1.531457
0,4905,1.530216
0,4920,1.528979
0,4935,1.527747
0,4950,1.52652
0,4965,1.525298
0,4980,1.52408
0,4995,1.522867
0,5010,1.521659
0,5025,1.520455
0,5040,1.519256
0,5055,1.518061
0,5070,1.516871
0,5085,1.515685
0,5100,1.514504
0,5115,1.513327
0,5130,1.512155
0,5145,1.510987
0,5160,1.509823
0,5175,1.508664
0,5190,1.507508
0,5205,1.506357
0,5220,1.505211
0,5235,1.504068
0,5250,1.502929
0,5265,1.501795
0,5280,1.500665
0,5295,1.499539
0,5310,1.498416
0,5325,1.497298
0,5340,1.496184
0,5355,1.495074
0,5370,1.493967
0,5385,1.492865
0,5400,1.491766
0,5415,1.490672
0,5430,1.489581
0,5445,1.488494
0,5460,1.48741
0,5475,1.486331
0,5490,1.485255
0,5505,1.484182
0,5520,1.483114
0,5535,1.482049
0,5550,1.480988
0,5565,1.47993
0,5580,1.478876
0,5595,1.477825
0,5610,1.476778
0,5625,1.475734
0,5640,1.474694
0,5655,1.473658
0,5670,1.472624
0,5685,1.471595
0,5700,1.470568
0,5715,1.469545
0,5730,1.468525
0,5745,1.467509
0,5760,1.466496
0,5775,1.465486
0,5790,1.464479
0,5805,1.463476
0,5820,1.462476
0,5835,1.461479
0,5850,1.460485
0,5865,1.459494
0,5880,1.458506
0,5895,1.457522
0,5910,1.456541
0,5925,1.455562
0,5940,1.454587
0,5955,1.453615
0,5970,1.452646
0,5985,1.451679
0,6000,1.450716
0,6015,1.449756
0,6030,1.448798
0,6045,1.447844
0,6060,1.446892
0,6075,1.445944
0,6090,1.444998
0,6105,1.444055
0,6120,1.443115
0,6135,1.442177
0,6150,1.441243
0,6165,1.440311
0,6180,1.439382
0,6195,1.438456
0,6210,1.437532
0,6225,1.436611
0,6240,1.435693
0,6255,1.434777
0,6270,1.433864
0,6285,1.432954
0,6300,1.432046
0,6315,1.431141
0,6330,1.430239
0,6345,1.429339
0,6360,1.428442
0,6375,1.427547
0,6390,1.426655
0,6405,1.425765
0,6420,1.424878
0,6435,1.423993
0,6450,1.42311
0,6465,1.42223
0,6480,1.421353
0,6495,1.420478
0,6510,1.419605
0,6525,1.418735
0,6540,1.417867
0,6555,1.417002
0,6570,1.416139
0,6585,1.415278
0,6600,1.414419
0,6615,1.413563
0,6630,1.412709
0,6645,1.411857
0,6660,1.411008
0,6675,1.410161
0,6690,1.409316
0,6705,1.408473
0,6720,1.407633
0,6735,1.406795
0,6750,1.405958
0,6765,1.405125
0,6780,1.404293
0,6795,1.403463
0,6810,1.402636
0,6825,1.40181
0,6840,1.400987
0,6855,1.400166
0,6870,1.399347
0,6885,1.39853
0,6900,1.397715
0,6915,1.396902
0,6930,1.396091
0,6945,1.395282
0,6960,1.394475
0,6975,1.393671
0,6990,1.392868
0,7005,1.392067
0,7020,1.391268
0,7035,1.390471
0,7050,1.389676
0,7065,1.388883
0,7080,1.388092
0,7095,1.387303
0,7110,1.386515
0,7125,1.38573
0,7140,1.384946
0,7155,1.384164
0,7170,1.383385
0,7185,1.382607
0,7200,1.38183
0,7215,1.381056
0,7230,1.380283
0,7245,1.379513
0,7260,1.378744
0,7275,1.377977
0,7290,1.377211
0,7305,1.376448
0,7320,1.375686
0,7335,1.374926
0,7350,1.374167
0,7365,1.373411
0,7380,1.372656
0,7395,1.371903
0,7410,1.371151
0,7425,1.370401
0,7440,1.369653
0,7455,1.368906
0,7470,1.368162
0,7485,1.367418
0,7500,1.366677
0,7515,1.365937
0,7530,1.365199
0,7545,1.364462
0,7560,1.363727
0,7575,1.362993
0,7590,1.362262
0,7605,1.361531
0,7620,1.360803
0,7635,1.360075
0,7650,1.35935
0,7665,1.358626
0,7680,1.357903
0,7695,1.357182
0,7710,1.356463
0,7725,1.355745
0,7740,1.355028
0,7755,1.354313
0,7770,1.3536
0,7785,1.352888
0,7800,1.352177
0,7815,1.351468
0,7830,1.350761
0,7845,1.350055
0,7860,1.34935
0,7875,1.348647
0,7890,1.347945
0,7905,1.347244
0,7920,1.346545
0,7935,1.345848
0,7950,1.345152
0,7965,1.344457
0,7980,1.343763
0,7995,1.343071
0,8010,1.342381
0,8025,1.341691
0,8040,1.341003
0,8055,1.340317
0,8070,1.339631
0,8085,1.338947
0,8100,1.338265
0,8115,1.337584
0,8130,1.336904
0,8145,1.336225
0,8160,1.335547
0,8175,1.334871
0,8190,1.334197
0,8205,1.333523
0,8220,1.332851
0,8235,1.33218
0,8250,1.33151
0,8265,1.330842
0,8280,1.330174
0,8295,1.329508
0,8310,1.328844
0,8325,1.32818
0,8340,1.327518
0,8355,1.326857
0,8370,1.326197
0,8385,1.325538
0,8400,1.324881
0,8415,1.324224
0,8430,1.323569
0,8445,1.322915
0,8460,1.322263
0,8475,1.321611
0,8490,1.320961
0,8505,1.320311
0,8520,1.319663
0,8535,1.319016
0,8550,1.318371
0,8565,1.317726
0,8580,1.317082
0,8595,1.31644
0,8610,1.315799
0,8625,1.315158
0,8640,1.314519
0,8655,1.313881
0,8670,1.313244
0,8685,1.312609
0,8700,1.311974
0,8715,1.31134
0,8730,1.310708
0,8745,1.310076
0,8760,1.309446
0,8775,1.308816
0,8790,1.308188
0,8805,1.307561
0,8820,1.306934
0,8835,1.306309
0,8850,1.305685
0,8865,1.305062
0,8880,1.30444
0,8895,1.303819
0,8910,1.303199
0,8925,1.30258
0,8940,1.301962
0,8955,1.301345
0,8970,1.300728
0,8985,1.300113
0,9000,1.299499
0,9015,1.298886
0,9030,1.298274
0,9045,1.297663
0,9060,1.297053
0,9075,1.296443
0,9090,1.295835
0,9105,1.295228
0,9120,1.294621
0,9135,1.294016
0,9150,1.293411
0,9165,1.292808
0,9180,1.292205
0,9195,1.291604
0,9210,1.291003
0,9225,1.290403
0,9240,1.289804
0,9255,1.289206
0,9270,1.288609
0,9285,1.288013
0,9300,1.287417
0,9315,1.286823
0,9330,1.286229
0,9345,1.285637
0,9360,1.285045
0,9375,1.284454
0,9390,1.283864
0,9405,1.283275
0,9420,1.282687
0,9435,1.282099
0,9450,1.281513
0,9465,1.280927
0,9480,1.280342
0,9495,1.279758
0,9510,1.279175
0,9525,1.278593
0,9540,1.278011
0,9555,1.27743
0,9570,1.276851
0,9585,1.276271
0,9600,1.275693
0,9615,1.275116
0,9630,1.274539
0,9645,1.273964
0,9660,1.273389
0,9675,1.272815
0,9690,1.272241
0,9705,1.271669
0,9720,1.271097
0,9735,1.270526
0,9750,1.269956
0,9765,1.269386
0,9780,1.268818
0,9795,1.26825
0,9810,1.267683
0,9825,1.267116
0,9840,1.266551
0,9855,1.265986
0,9870,1.265422
0,9885,1.264859
0,9900,1.264296
0,9915,1.263734
0,9930,1.263173
0,9945,1.262613
0,9960,1.262053
0,9975,1.261495
0,9990,1.260936
0,10005,1.260379
0,10020,1.259822
0,10035,1.259267
0,10050,1.258711
0,10065,1.258157
0,10080,1.257603
0,10095,1.25705
0,10110,1.256498
0,10125,1.255946
0,10140,1.255395
0,10155,1.254845
0,10170,1.254295
0,10185,1.253747
0,10200,1.253198
0,10215,1.252651
0,10230,1.252104
0,10245,1.251558
0,10260,1.251012
0,10275,1.250468
0,10290,1.249924
0,10305,1.24938
0,10320,1.248837
0,10335,1.248295
0,10350,1.247754
0,10365,1.247213
0,10380,1.246673
0,10395,1.246134
0,10410,1.245595
0,10425,1.245057
0,10440,1.244519
0,10455,1.243982
0,10470,1.243446
0,10485,1.242911
0,10500,1.242375
0,10515,1.241841
0,10530,1.241307
0,10545,1.240775
0,10560,1.240242
0,10575,1.23971
0,10590,1.239179
0,10605,1.238648
0,10620,1.238119
0,10635,1.237589
0,10650,1.23706
0,10665,1.236532
0,10680,1.236005
0,10695,1.235478
0,10710,1.234951
0,10725,1.234426
0,10740,1.233901
0,10755,1.233376
0,10770,1.232852
0,10785,1.232329
0,10800,1.231806
0,10815,1.231284
0,10830,1.230762
0,10845,1.230241
0,10860,1.229721
0,10875,1.229201
0,10890,1.228682
0,10905,1.228163
0,10920,1.227645
0,10935,1.227127
0,10950,1.22661
0,10965,1.226094
0,10980,1.225578
0,10995,1.225062
0,11010,1.224548
0,11025,1.224033
0,11040,1.22352
0,11055,1.223007
0,11070,1.222494
0,11085,1.221982
0,11100,1.221471
0,11115,1.22096
0,11130,1.220449
0,11145,1.219939
0,11160,1.21943
0,11175,1.218921
0,11190,1.218413
0,11205,1.217905
0,11220,1.217398
0,11235,1.216891
0,11250,1.216385
0,11265,1.215879
0,11280,1.215374
0,11295,1.21487
0,11310,1.214365
0,11325,1.213862
0,11340,1.213359
0,11355,1.212856
0,11370,1.212354
0,11385,1.211853
0,11400,1.211352
0,11415,1.210851
0,11430,1.210351
0,11445,1.209852
0,11460,1.209352
0,11475,1.208854
0,11490,1.208356
0,11505,1.207858
0,11520,1.207361
0,11535,1.206865
0,11550,1.206368
0,11565,1.205873
0,11580,1.205378
0,11595,1.204883
0,11610,1.204389
0,11625,1.203895
0,11640,1.203402
0,11655,1.202909
0,11670,1.202417
0,11685,1.201925
0,11700,1.201434
0,11715,1.200943
0,11730,1.200452
0,11745,1.199962
0,11760,1.199473
0,11775,1.198984
0,11790,1.198495
0,11805,1.198007
0,11820,1.19752
0,11835,1.197032
0,11850,1.196546
0,11865,1.196059
0,11880,1.195574
0,11895,1.195088
0,11910,1.194603
0,11925,1.194119
0,11940,1.193635
0,11955,1.193151
0,11970,1.192668
0,11985,1.192185
0,12000,1.191703
0,12015,1.191221
0,12030,1.19074
0,12045,1.190259
0,12060,1.189778
0,12075,1.189298
0,12090,1.188818
0,12105,1.188339
0,12120,1.18786
0,12135,1.187382
0,12150,1.186904
0,12165,1.186426
0,12180,1.185949
0,12195,1.185472
0,12210,1.184996
0,12225,1.18452
0,12240,1.184044
0,12255,1.183569
0,12270,1.183095
0,12285,1.18262
0,12300,1.182147
0,12315,1.181673
0,12330,1.1812
0,12345,1.180727
0,12360,1.180255
0,12375,1.179783
0,12390,1.179312
0,12405,1.178841
0,12420,1.17837
0,12435,1.1779
0,12450,1.17743
0,12465,1.176961
0,12480,1.176492
0,12495,1.176023
0,12510,1.175555
0,12525,1.175087
0,12540,1.17462
0,12555,1.174153
0,12570,1.173686
0,12585,1.17322
0,12600,1.172754
0,12615,1.172288
0,12630,1.171823
0,12645,1.171358
0,12660,1.170894
0,12675,1.17043
0,12690,1.169966
0,12705,1.169503
0,12720,1.16904
0,12735,1.168577
0,12750,1.168115
0,12765,1.167653
0,12780,1.167192
0,12795,1.166731
0,12810,1.16627
0,12825,1.16581
0,12840,1.16535
0,12855,1.16489
0,12870,1.164431
0,12885,1.163972
0,12900,1.163514
0,12915,1.163056
0,12930,1.162598
0,12945,1.16214
0,12960,1.161683
0,12975,1.161227
0,12990,1.16077
0,13005,1.160314
0,13020,1.159858
0,13035,1.159403
0,13050,1.158948
0,13065,1.158494
0,13080,1.158039
0,13095,1.157586
0,13110,1.157132
0,13125,1.156679
0,13140,1.156226
0,13155,1.155773
0,13170,1.155321
0,13185,1.154869
0,13200,1.154418
0,13215,1.153967
0,13230,1.153516
0,13245,1.153065
0,13260,1.152615
0,13275,1.152165
0,13290,1.151716
0,13305,1.151267
0,13320,1.150818
0,13335,1.150369
0,13350,1.149921
0,13365,1.149473
0,13380,1.149026
0,13395,1.148579
0,13410,1.148132
0,13425,1.147685
0,13440,1.147239
0,13455,1.146793
0,13470,1.146348
0,13485,1.145902
0,13500,1.145457
0,13515,1.145013
0,13530,1.144568
0,13545,1.144125
0,13560,1.143681
0,13575,1.143237
0,13590,1.142794
0,13605,1.142352
0,13620,1.141909
0,13635,1.141467
0,13650,1.141026
0,13665,1.140584
0,13680,1.140143
0,13695,1.139702
0,13710,1.139262
0,13725,1.138821
0,13740,1.138382
0,13755,1.137942
0,13770,1.137503
0,13785,1.137064
0,13800,1.136625
0,13815,1.136187
0,13830,1.135749
0,13845,1.135311
0,13860,1.134873
0,13875,1.134436
0,13890,1.133999
0,13905,1.133563
0,13920,1.133126
0,13935,1.13269
0,13950,1.132255
0,13965,1.131819
0,13980,1.131384
0,13995,1.130949
0,14010,1.130515
0,14025,1.130081
0,14040,1.129647
0,14055,1.129213
0,14070,1.12878
0,14085,1.128347
0,14100,1.127914
0,14115,1.127481
0,14130,1.127049
0,14145,1.126617
0,14160,1.126186
0,14175,1.125754
0,14190,1.125323
0,14205,1.124893
0,14220,1.124462
0,14235,1.124032
0,14250,1.123602
